pos,country_code,region_code,PourcentDeathAttribuableEnv,Per100000AirPol,Per100000Chemi,Per100000Water,Per100000UV,country_name,region_name,WorldBankincome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,"
136,PAK,EMR,0.25,113.03244,2.27401,19.589,0.2,Pakistan,Eastern Mediterranean,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PAN,AMR,0.14,26.37075,0.39116,1.896,0.77,Panama,Americas,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PER,AMR,0.16,58.27189,0.8898,1.277,0,Peru,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PHL,WPR,0.22,116.72905,0.24566,4.193,0.34,Philippines,Western Pacific,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PLW,WPR,0.12,,,,0.62,Palau,Western Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PNG,WPR,0.19,89.55867,1.66411,16.31,0.99,Papua New Guinea,Western Pacific,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,POL,EUR,0.16,76.30011,0.2499,0.091,3.51,Poland,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PRK,SEAR,0.31,230.92873,1.89974,1.357,0.1,North Korea,South-East Asia,,,,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,,,,",,,,,,,,,,,,,,,,
144,PRT,EUR,0.11,28.31037,0.25844,0.153,2.52,Portugal,Europe,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PRY,AMR,0.2,45.54725,0.34076,1.465,0.56,Paraguay,Americas,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,QAT,EMR,0.2,12.84385,0.42816,0.008,0.22,Qatar,Eastern Mediterranean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,ROU,EUR,0.19,123.36003,0.39368,0.362,2.86,Romania,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,RUS,EUR,0.17,85.92071,1.69436,0.105,1.64,Russia,Europe,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,RWA,AFR,0.24,59.05943,2.36529,19.349,1.16,Rwanda,Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,SAU,EMR,0.2,39.44778,0.65315,0.092,0.55,Saudi Arabia,Eastern Mediterranean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,SDN,EMR,0.23,104.95635,3.9267,17.322,1.2,Sudan,Eastern Mediterranean,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
